A1,A9,A10,A12,A16,A2,A3,A8,A11,A14,A15,A4_l,A4_u,A4_y,A5_g,A5_gg,A5_p,A6_aa,A6_c,A6_cc,A6_d,A6_e,A6_ff,A6_i,A6_j,A6_k,A6_m,A6_q,A6_r,A6_w,A6_x,A7_bb,A7_dd,A7_ff,A7_h,A7_j,A7_n,A7_o,A7_v,A7_z,A13_g,A13_p,A13_s
1,1,1,0,0,0.046968540909190164,-1.000611936864232,-0.237660898842702,-0.28844703691835233,0.18695585673476553,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,0,2.705173844545498,0.034148610861501394,0.5566542058452284,1.1293434835277865,-0.9714350557309126,-0.0190888476275736,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,-0.5574294322236338,-0.8846073911550693,-0.1267230350594715,-0.57200514100758,0.755223096812268,0.14166175402271783,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1,1,0,-0.23947599612058432,-0.6433179360800102,0.871717738989603,0.8457853794385586,-0.5561628418281223,-0.35824826095792334,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,-0.9708643806699415,0.3044392023638511,-0.03353522948155788,-0.57200514100758,-0.41045329309030115,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,1,0,0.16632043133826285,-0.07257557119092851,0.31702842007345056,-0.57200514100758,1.3380612917635526,-0.360074972340313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,-0.7082902217259816,1.6872133872170738,-0.7746001595535377,-0.57200514100758,-0.7018723905659434,0.461336245940911,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,2.2993774170866503,-0.8846073911550693,0.9649055445675166,-0.57200514100758,0.026675353123162264,-0.16887918098352697,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,0,1.161237789955013,0.1397127474568397,0.6121231377368437,-0.57200514100758,-0.9058657587988931,0.517964298794991,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,1,0,-0.7884946920943188,-0.8080443909870216,0.16837168260392169,-0.57200514100758,-0.3521694735951727,-0.360074972340313,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
